topic_id,keywords
0,"dont, opinion, boys, series, love, loved, like, book, books, read"
1,"companies, sanctions, arms, washington, beijing, taiwan, reading, book, chars, sales"
2,"game, video, book, like, new, chars, hardware, good, love, books"
3,"power, self, im, sales, new, love, help, like, chars, book"
4,"click, newsletter, year, sales, want, reading, books, chars, good, read"
5,"reports, automaker, holiday, year, deals, week, new, christmas, chars, sales"
6,"actually, sales, days, books, new, people, read, im, chars, book"
