title,description,content,source,published_at,category
"Schedule for Week of January 11, 2026","The key reports this week are December CPI, Existing Home Sales and November Retail Sales.  Also, New Home Sales for September and October w...","The key reports this week are December CPI, Existing Home Sales and November Retail Sales. Also, New Home Sales for September and October will be released.

For manufacturing, the December Industrial… [+2677 chars]",Calculatedriskblog.com,2026-01-10T13:11:00Z,ecommerce_news
Bookshop’s Bestselling Nonfiction Books of 2025,"For finding a good book, there is no substitute for going into your local independent bookstore and browsing what’s on the","For finding a good book, there is no substitute for going into your local independent bookstore and browsing what’s on the front tables, the bestsellers shelf, and the staff picks. But bookshop.org i… [+959 chars]",kottke.org,2025-12-23T22:18:21Z,ecommerce_news
"Kilmar Abrego Garcia released from ICE custody. And, Indiana rejects redistricting","Kilmar Abrego Garcia, a man the Trump administration mistakenly deported in March and eventually returned, is now free from ICE custody. And, Indiana lawmakers reject a redistricting proposal.","Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+6643 chars]",NPR,2025-12-12T11:54:28Z,ecommerce_news
Costco is firing on all cylinders — and shoppers are loving it,"Costco beat expectations with net sales of nearly $66 billion for its first fiscal quarter, including US comparable sales growth of 5.9%.","This holiday season has been a record-setting one for Costco.Scott Olson/Getty Images
<ul><li>Costco reported first-quarter net sales of nearly $66 billion, up 8.2% from last year.</li><li>In the US… [+1526 chars]",Business Insider,2025-12-11T22:28:45Z,ecommerce_news
These New-Guard Photo Books Make Perfect Gifts,Small publishers are revolutionizing the photo book business. We chose our favorites.,"Finally, some good news: Photobooks those objects that wobble between totems of cultural cachet and immersive art experiences are thriving. This Novembers Paris Photo, the Met Gala of the photography… [+6983 chars]",Highsnobiety,2025-12-16T16:33:45Z,ecommerce_news
Fortnite Leaker Wanted To ‘Ruin’ Harry Potter Surprise Because J.K. Rowling’s A Transphobe,"Epic’s battle royale is getting cosmetics based on the popular children’s book series
The post Fortnite Leaker Wanted To ‘Ruin’ Harry Potter Surprise Because J.K. Rowling’s A Transphobe appeared first on Kotaku.",Fortnites crossover slop has now spread to engulf the Wizarding World as Epics inescapable battle royale is gearing up to add cosmetics based on Harry Potter. The game has become such a worldwide phe… [+2420 chars],Kotaku,2025-12-18T20:35:22Z,ecommerce_news
I grew my side hustle to become a full-time food influencer. Here's the breakdown of where my money comes from.,"Davon Moseley turned his side hustle and love of food into a full time job, becoming an influencer with his Royale Eats channel.","Davon Moseley, the influencer behind the Royale Eats social media channels, turned his side hustle into a full-time job.Davon Moseley
<ul><li>Davon Moseley turned his online side hustle and love of … [+3935 chars]",Business Insider,2025-12-27T09:44:01Z,ecommerce_news
"Elon Musk's SpaceX purchases over 1,000 Cybertrucks as demand plummets: 'You have to wonder what other tricks they pulled'",SpaceX's purchases could add up to anywhere between $80 million to $160 million in sales for Tesla.,"Elon Musk is resorting to one of the oldest tricks in the book, robbing Peter to pay Paul, to boost demand for Cybertrucks.
Electrek reported on how Musk is using one of his companies, SpaceX, to he… [+2833 chars]",Yahoo Entertainment,2025-12-25T00:05:00Z,ecommerce_news
The Samsung Galaxy Chromebook Plus is super lightweight and powered by Google AI — and now it's $150 OFF at Best Buy,"The Christmas sales are over, but Best Buy is still advertising some of its most compelling Chromebook deals.","I've seen a ton of Chromebook deals this holiday season, but Samsung's laptops have been largely overlooked  — with one notable exception. The Samsung Galaxy Chromebook Plus, one of our favorite Chro… [+1741 chars]",Android Central,2025-12-26T17:49:55Z,ecommerce_news
Video Game Hardware Sales Are the Worst in Decades: Here's Why You Should Buy Now,"New analytics show abysmal video game hardware sales for Black Friday, but price hikes aren't over yet.","It's been a rough holiday season for video game hardware so far. Analytics company Circana released its November report on Wednesday, showing rising prices and console sales at their worst point in d… [+2195 chars]",CNET,2025-12-18T00:30:00Z,ecommerce_news
